Subgroup_type,Subgroup_value,ASR_Model,Biomarker,Human_effect,ASR_effect,Deviation,CI_low,CI_high,p_val,n_DEM,n_OLD,p_FDR
Sex,Male,Nemo,ttr,-0.057,-0.046,0.011,-0.0042,0.0262,0.1532,112,53,0.3142
Sex,Male,Nemo,pronoun_ratio,0.0223,0.0226,0.0002,-0.0058,0.0062,0.9404,112,53,0.9404
Sex,Male,Nemo,content_ratio,0.0665,0.0606,-0.006,-0.0143,0.0023,0.1571,112,53,0.3142
Sex,Male,Nemo,mean_word_len,-0.2332,-0.2272,0.006,-0.037,0.049,0.7832,112,53,0.8587
Sex,Male,Whisper,ttr,-0.057,-0.0395,0.0175,0.0022,0.0328,0.0252,112,53,0.1152
Sex,Male,Whisper,pronoun_ratio,0.0223,0.0269,0.0046,-0.0031,0.0122,0.2416,112,53,0.4069
Sex,Male,Whisper,content_ratio,0.0665,0.0561,-0.0105,-0.0207,-0.0002,0.0449,112,53,0.1796
Sex,Male,Whisper,mean_word_len,-0.2332,-0.1381,0.0951,0.0436,0.1466,0.0004,112,53,0.0064
Sex,Female,AWS,ttr,-0.0895,-0.0687,0.0208,0.0041,0.0374,0.0152,62,60,0.0608
Sex,Female,AWS,pronoun_ratio,0.0424,0.0539,0.0115,0.0035,0.0196,0.0057,62,60,0.0365
Sex,Female,AWS,content_ratio,0.08,0.0655,-0.0144,-0.0225,-0.0064,0.0006,62,60,0.0096
Sex,Female,AWS,mean_word_len,-0.2125,-0.2598,-0.0473,-0.0911,-0.0034,0.0348,62,60,0.0928
Sex,Female,AssemblyAI,ttr,-0.0895,-0.0672,0.0223,0.008,0.0366,0.0027,62,60,0.0216
Sex,Female,AssemblyAI,pronoun_ratio,0.0424,0.0417,-0.0007,-0.0062,0.0048,0.796,62,60,0.8491
Sex,Female,AssemblyAI,content_ratio,0.08,0.0768,-0.0031,-0.0094,0.0032,0.3263,62,60,0.454
Sex,Female,AssemblyAI,mean_word_len,-0.2125,-0.1674,0.0451,-0.0116,0.1019,0.1177,62,60,0.1963
Sex,Female,CrisperWhisper,ttr,-0.0895,-0.1177,-0.0282,-0.0574,0.001,0.058,62,60,0.129
Sex,Female,CrisperWhisper,pronoun_ratio,0.0424,0.0435,0.0011,-0.0107,0.0129,0.8488,62,60,0.8734
Sex,Female,CrisperWhisper,content_ratio,0.08,0.0783,-0.0016,-0.0121,0.0088,0.756,62,60,0.8342
Sex,Female,CrisperWhisper,mean_word_len,-0.2125,-0.2875,-0.075,-0.1543,0.0044,0.0636,62,60,0.129
Sex,Female,Google,ttr,-0.0895,-0.074,0.0155,-0.0069,0.038,0.1723,62,60,0.2626
Sex,Female,Google,pronoun_ratio,0.0424,0.056,0.0136,-0.0001,0.0274,0.0517,62,60,0.1273
Sex,Female,Google,content_ratio,0.08,0.0752,-0.0048,-0.0175,0.008,0.4579,62,60,0.5974
Sex,Female,Google,mean_word_len,-0.2125,-0.2709,-0.0584,-0.1328,0.016,0.1227,62,60,0.1963
Sex,Female,Meta,ttr,-0.0895,-0.0181,0.0714,0.0473,0.0954,0.0,62,60,0.0
Sex,Female,Meta,pronoun_ratio,0.0424,0.0401,-0.0023,-0.0108,0.0063,0.5956,62,60,0.6807
Sex,Female,Meta,content_ratio,0.08,0.0765,-0.0034,-0.0132,0.0063,0.4854,62,60,0.5974
Sex,Female,Meta,mean_word_len,-0.2125,-0.1663,0.0463,-0.0402,0.1327,0.2903,62,60,0.4223
Sex,Female,Microsoft,ttr,-0.0895,-0.0775,0.012,-0.0285,0.0525,0.5555,62,60,0.6584
Sex,Female,Microsoft,pronoun_ratio,0.0424,0.0484,0.006,-0.0107,0.0227,0.4773,62,60,0.5974
Sex,Female,Microsoft,content_ratio,0.08,0.0513,-0.0286,-0.0538,-0.0035,0.0264,62,60,0.0911
Sex,Female,Microsoft,mean_word_len,-0.2125,-0.2044,0.0082,-0.0939,0.1103,0.8734,62,60,0.8734
Sex,Female,Nemo,ttr,-0.0895,-0.0624,0.0271,0.0077,0.0466,0.007,62,60,0.037
Sex,Female,Nemo,pronoun_ratio,0.0424,0.0479,0.0055,-0.0014,0.0123,0.1173,62,60,0.1963
Sex,Female,Nemo,content_ratio,0.08,0.0664,-0.0136,-0.0223,-0.0049,0.0025,62,60,0.0216
Sex,Female,Nemo,mean_word_len,-0.2125,-0.1682,0.0443,-0.0027,0.0914,0.0645,62,60,0.129
Sex,Female,Whisper,ttr,-0.0895,-0.0679,0.0216,0.002,0.0411,0.031,62,60,0.0911
Sex,Female,Whisper,pronoun_ratio,0.0424,0.0507,0.0083,-0.0021,0.0187,0.1167,62,60,0.1963
Sex,Female,Whisper,content_ratio,0.08,0.07,-0.0099,-0.019,-0.0009,0.0313,62,60,0.0911
Sex,Female,Whisper,mean_word_len,-0.2125,-0.1185,0.094,0.0252,0.1629,0.0081,62,60,0.037
Dementia_subtype,Subtype_2 (n_pts=37),AWS,ttr,-0.0764,-0.0743,0.0021,-0.0071,0.0112,0.6565,65,113,0.8605
Dementia_subtype,Subtype_2 (n_pts=37),AWS,pronoun_ratio,0.0293,0.0341,0.0048,-0.0002,0.0098,0.0621,65,113,0.2869
Dementia_subtype,Subtype_2 (n_pts=37),AWS,content_ratio,0.0556,0.0464,-0.0092,-0.0148,-0.0036,0.0014,65,113,0.0224
Dementia_subtype,Subtype_2 (n_pts=37),AWS,mean_word_len,-0.121,-0.1533,-0.0323,-0.067,0.0025,0.0684,65,113,0.2869
Dementia_subtype,Subtype_2 (n_pts=37),AssemblyAI,ttr,-0.0764,-0.074,0.0024,-0.0093,0.0141,0.6847,65,113,0.8605
Dementia_subtype,Subtype_2 (n_pts=37),AssemblyAI,pronoun_ratio,0.0293,0.0306,0.0013,-0.0039,0.0066,0.6173,65,113,0.8589
Dementia_subtype,Subtype_2 (n_pts=37),AssemblyAI,content_ratio,0.0556,0.0547,-0.0009,-0.0064,0.0045,0.7373,65,113,0.8605
Dementia_subtype,Subtype_2 (n_pts=37),AssemblyAI,mean_word_len,-0.121,-0.1158,0.0052,-0.0311,0.0415,0.7761,65,113,0.8605
Dementia_subtype,Subtype_2 (n_pts=37),CrisperWhisper,ttr,-0.0764,-0.0888,-0.0124,-0.0261,0.0012,0.0737,65,113,0.2869
Dementia_subtype,Subtype_2 (n_pts=37),CrisperWhisper,pronoun_ratio,0.0293,0.0287,-0.0005,-0.0047,0.0036,0.8009,65,113,0.8605
Dementia_subtype,Subtype_2 (n_pts=37),CrisperWhisper,content_ratio,0.0556,0.052,-0.0037,-0.0119,0.0046,0.3784,65,113,0.6373
Dementia_subtype,Subtype_2 (n_pts=37),CrisperWhisper,mean_word_len,-0.121,-0.1423,-0.0213,-0.0482,0.0056,0.1201,65,113,0.3203
Dementia_subtype,Subtype_2 (n_pts=37),Google,ttr,-0.0764,-0.0672,0.0092,-0.0064,0.0248,0.246,65,113,0.4373
Dementia_subtype,Subtype_2 (n_pts=37),Google,pronoun_ratio,0.0293,0.0309,0.0016,-0.0073,0.0106,0.7168,65,113,0.8605
Dementia_subtype,Subtype_2 (n_pts=37),Google,content_ratio,0.0556,0.0484,-0.0073,-0.0179,0.0033,0.1761,65,113,0.4241
Dementia_subtype,Subtype_2 (n_pts=37),Google,mean_word_len,-0.121,-0.161,-0.0399,-0.101,0.0211,0.1967,65,113,0.4241
Dementia_subtype,Subtype_2 (n_pts=37),Meta,ttr,-0.0764,-0.0433,0.033,0.0182,0.0478,0.0,65,113,0.0
Dementia_subtype,Subtype_2 (n_pts=37),Meta,pronoun_ratio,0.0293,0.0228,-0.0064,-0.0137,0.0008,0.0807,65,113,0.2869
Dementia_subtype,Subtype_2 (n_pts=37),Meta,content_ratio,0.0556,0.0568,0.0012,-0.0082,0.0106,0.8067,65,113,0.8605
Dementia_subtype,Subtype_2 (n_pts=37),Meta,mean_word_len,-0.121,-0.1601,-0.0391,-0.099,0.0209,0.1988,65,113,0.4241
Dementia_subtype,Subtype_2 (n_pts=37),Microsoft,ttr,-0.0764,-0.0537,0.0227,-0.0058,0.0511,0.1163,65,113,0.3203
Dementia_subtype,Subtype_2 (n_pts=37),Microsoft,pronoun_ratio,0.0293,0.0294,0.0002,-0.0085,0.0088,0.9707,65,113,0.9956
Dementia_subtype,Subtype_2 (n_pts=37),Microsoft,content_ratio,0.0556,0.0413,-0.0143,-0.0379,0.0093,0.2307,65,113,0.4343
Dementia_subtype,Subtype_2 (n_pts=37),Microsoft,mean_word_len,-0.121,-0.0844,0.0366,-0.0234,0.0967,0.2284,65,113,0.4343
Dementia_subtype,Subtype_2 (n_pts=37),Nemo,ttr,-0.0764,-0.073,0.0034,-0.0057,0.0124,0.4622,65,113,0.7043
Dementia_subtype,Subtype_2 (n_pts=37),Nemo,pronoun_ratio,0.0293,0.0344,0.0051,-0.0011,0.0114,0.1074,65,113,0.3203
Dementia_subtype,Subtype_2 (n_pts=37),Nemo,content_ratio,0.0556,0.0457,-0.01,-0.0181,-0.0019,0.0166,65,113,0.1328
Dementia_subtype,Subtype_2 (n_pts=37),Nemo,mean_word_len,-0.121,-0.135,-0.014,-0.05,0.022,0.4419,65,113,0.7043
Dementia_subtype,Subtype_2 (n_pts=37),Whisper,ttr,-0.0764,-0.0764,-0.0,-0.0114,0.0113,0.9956,65,113,0.9956
